key,en,hy
header:skip_link,Skip to main content,Անցեք հիմնական բովանդակությանը 
header:alpha,Alpha,Ալֆա
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.","Սա մշակման վեբ կայք է: Մենք ողջունում ենք ձեր <a href=""mailto:%email_address""> հետադարձ կապը  "
header:tag_line,UK Climate Change-related Statistics,17 նպատակներ մեր աշխարհը փոխակերպելու համար
header:high_contrast,High contrast,բարձր հակադրություն
header:default_contrast,Default contrast,լռելյայն հակադրություն
header:enable_high_contrast,Enable high contrast,Միացնել բարձր հակադրություն
header:disable_high_contrast,Disable high contrast,Անջատեք բարձր հակադրություն
menu:menu,Menu,Ցանկ
menu:reporting_status,Reporting Status,Հաշվետվության կարգավիճակը 
menu:about,About,Վերաբերյալ
menu:publications,Publications,Հրապարակումներ
menu:guidance,Guidance,Ուղեցույց
menu:faq,FAQ,ՀՏՀ
menu:contact_us,Contact us,Կապ մեզ հետ
menu:cookies,Cookies,Քուկիներ 
menu:updates,Updates,
indicator:select_all,Select all,Ընտրել ամբողջը
indicator:clear_all,Clear all,Մաքրել ամեն ինչ 
indicator:clear_selections,Clear selections,Մաքրել նշվածները 
indicator:variable_hint,Available when '%field' is selected,"Հասանելի է, երբ ընտրված է դաշտը '%field' "
indicator:no_data_hint,No options available because of filters above,Վերը նշված ֆիլտրերի պատճառով ընտրանք չկա
indicator:download_headline,Download Headline CSV,Ներբեռնել վերնագիրը որպես CSV
indicator:download_headline_title,Download headline data as CSV,Ներբեռնել վերնագրի տվյալները որպես CSV
indicator:download_source,Download Source CSV,Ներբեռնել աղբյուրը CSV
indicator:download_source_title,Download source data as CSV,"Ներբեռնել աղբյուրի տվյալները, որպես CSV"
indicator:download_chart,Download Chart CSV,Ներբեռնել CSV գծապատկեր
indicator:download_table,Download Table CSV,Ներբեռնել CSV աղյուսակը
indicator:download_csv,Download CSV,Ներբեռնել CSV
indicator:download_csv_title,Download as CSV,Ներբեռնել որպես CSV
indicator:download_chart_image,Download Chart Image,Ներբեռնեք գծապատկերի պատկերը
indicator:download_chart_image_title,Download chart as image,Ներբեռնեք աղյուսակը որպես պատկեր
indicator:download_geojson,Download GeoJSON,Ներբեռնել GeoJSON
indicator:download_geojson_title,Download as GeoJSON,Ներբեռնել որպես GeoJSON
indicator:source,Source,Աղբյուր
indicator:sources,Sources,Աղբյուրներ
indicator:geographical_area,Geographical Area,Աշխարհագրական դիրք
indicator:unit_of_measurement,Unit of Measurement,Չափման  միավոր
indicator:footnote,Footnote,Ծանոթագրություն
indicator:units_type,Units type,Միավորների տեսակը
indicator:series,Series,Սերիան
indicator:dataset_size_warning,There are too many datasets to show on the chart. Not all will be shown until you remove some selections.,"Տվյալները չափազանց շատ են գծապատկերում ցուցադրելու համար: Նրանցից ոչ բոլորը կցուցադրվեն, քանի դեռ չեք հանել որոշ նշվածները:"
indicator:view_indicator_list,View this goal's indicator list,Տեսնել այս նպատակի ցուցանիշների ցանկը
indicator:sub_categories,Sub-categories,Ենթախմբեր
indicator:series_help,Choose categories from the dropdowns below to see different breakdowns of the data. Some will not be available until a higher level is chosen.,"Ընտրել ստորև բերված կատեգորիաները `տվյալների տարբեր ենթախմբերը տեսնելու համար: Ոմանք հասանելի չեն լինի, մինչև չընտրվի առավել բարձր մակարդակը: "
indicator:legend_help,Click on the legend to remove individual lines from the chart.,Սեղմեք նկարագրությանը գծապատկերից անհատական գծերը հեռացնելու համար:
indicator:chart,Chart,Գծապատկեր
indicator:table,Table,Աղյուսակ
indicator:map,Map,Քարտեզ
indicator:loading_map,Loading map,Քարտեզը բեռնվում է։
indicator:national_metadata,National Metadata,Ազգային մետատվյալներ
